,location,total_sqft,bath,price,bhk
0,1st Block Jayanagar,2850.0,4.0,428.0,4
1,1st Block Jayanagar,1630.0,3.0,194.0,3
2,1st Block Jayanagar,1875.0,2.0,235.0,3
3,1st Block Jayanagar,1235.0,2.0,148.0,2
4,1st Block Jayanagar,2750.0,4.0,413.0,4
5,1st Block Jayanagar,2450.0,4.0,368.0,4
6,1st Phase JP Nagar,2825.0,4.0,250.0,4
7,1st Phase JP Nagar,1875.0,3.0,167.0,3
8,1st Phase JP Nagar,2024.0,3.0,157.0,3
9,1st Phase JP Nagar,1394.0,2.0,100.0,2
10,1st Phase JP Nagar,1077.0,2.0,93.0,2
11,1st Phase JP Nagar,1590.0,3.0,131.0,3
12,1st Phase JP Nagar,2180.0,3.0,210.0,3
13,1st Phase JP Nagar,1180.0,2.0,88.5,2
14,1st Phase JP Nagar,1200.0,2.0,86.0,2
15,1st Phase JP Nagar,2077.0,3.0,175.0,3
16,1st Phase JP Nagar,1205.0,2.0,85.0,2
17,1st Phase JP Nagar,2615.0,5.0,222.0,4
18,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
19,2nd Phase Judicial Layout,1681.0,3.0,69.0,3
20,2nd Phase Judicial Layout,1150.0,2.0,40.25,2
21,2nd Stage Nagarbhavi,3000.0,3.0,170.0,4
22,2nd Stage Nagarbhavi,4000.0,4.0,240.0,5
23,5th Block Hbr Layout,1206.0,2.0,56.0,2
24,5th Block Hbr Layout,1312.0,2.0,69.0,2
25,5th Block Hbr Layout,1100.0,2.0,48.0,2
26,5th Phase JP Nagar,1075.0,2.0,60.0,2
27,5th Phase JP Nagar,1150.0,3.0,52.5,2
28,5th Phase JP Nagar,1256.0,2.0,62.8,2
29,5th Phase JP Nagar,1207.0,2.0,63.0,2
30,5th Phase JP Nagar,1725.0,2.0,100.0,3
31,5th Phase JP Nagar,1440.0,2.0,60.0,2
32,5th Phase JP Nagar,1700.0,2.0,100.0,3
33,5th Phase JP Nagar,2500.0,5.0,110.0,5
34,5th Phase JP Nagar,600.0,1.0,30.0,1
35,5th Phase JP Nagar,1390.0,2.0,65.0,2
36,5th Phase JP Nagar,1256.0,2.0,62.8,2
37,5th Phase JP Nagar,1000.0,2.0,48.0,2
38,5th Phase JP Nagar,552.0,1.0,23.5,1
39,5th Phase JP Nagar,1200.0,2.0,51.0,2
40,5th Phase JP Nagar,1550.0,3.0,75.0,3
41,5th Phase JP Nagar,1030.0,2.0,57.0,2
42,5th Phase JP Nagar,1200.0,2.0,68.0,2
43,5th Phase JP Nagar,1190.0,2.0,61.8,2
44,5th Phase JP Nagar,4000.0,5.0,170.0,5
45,5th Phase JP Nagar,1080.0,2.0,53.0,2
46,5th Phase JP Nagar,1041.0,2.0,54.0,2
47,5th Phase JP Nagar,1010.0,2.0,57.0,2
48,5th Phase JP Nagar,1075.0,2.0,60.0,2
49,6th Phase JP Nagar,1192.0,2.0,74.0,2
50,6th Phase JP Nagar,1180.0,2.0,80.0,2
51,6th Phase JP Nagar,3245.0,4.0,250.0,4
52,6th Phase JP Nagar,1645.0,3.0,100.0,3
53,6th Phase JP Nagar,1140.0,2.0,65.0,2
54,6th Phase JP Nagar,2040.0,3.0,200.0,3
55,6th Phase JP Nagar,1213.0,2.0,63.0,2
56,6th Phase JP Nagar,1170.0,2.0,120.0,2
57,6th Phase JP Nagar,1460.0,2.0,80.0,2
58,6th Phase JP Nagar,2003.0,3.0,200.0,3
59,6th Phase JP Nagar,1810.0,3.0,131.0,3
60,6th Phase JP Nagar,1515.0,2.0,135.0,3
61,6th Phase JP Nagar,1192.0,2.0,75.0,2
62,6th Phase JP Nagar,1280.0,2.0,88.0,2
63,7th Phase JP Nagar,1080.0,2.0,72.0,2
64,7th Phase JP Nagar,1270.0,2.0,93.0,2
65,7th Phase JP Nagar,1850.0,3.0,150.0,3
66,7th Phase JP Nagar,1245.0,2.0,94.0,2
67,7th Phase JP Nagar,1175.0,2.0,82.0,2
68,7th Phase JP Nagar,2225.0,3.0,160.0,3
69,7th Phase JP Nagar,1050.0,2.0,71.0,2
